Name;Resolver voltage divider;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\ResolverVotageDivider.csv;
Starttime of export;132907764534190000;Thursday, March 3, 2022;11:20:53.419
Endtime of export;132907764927590000;Thursday, March 3, 2022;11:21:32.759


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907764544590000;0;0;-0.0042693565885967375
132907764544690000;0;0;-0.005246648671300579
132907764544790000;0;0;-0.0010748381133803588
132907764544890000;0;0;0.0037393713897931583
132907764544990000;0;0;0.0072097992233168418
132907764545090000;0;0;0.00831229288124566
132907764545190000;0;0;0.010996895016667455
132907764545290000;0;0;-0.0013540433700192094
132907764545390000;0;0;0.0017721893029283315
132907764545490000;0;0;0.0030485768736225449
132907764545590000;0;0;0.0072361166283205856
132907764545690000;0;0;0.0067090263977201293
132907764545790000;0;0;0.0056549581298023163
132907764545890000;0;0;0.012896325572980625
132907764545990000;0;0;0.014380654611328621
132907764546090000;0;0;0.011442156023125418
132907764546190000;0;0;0.013342246056546575
132907764546290000;0;0;0.021543822737965665
132907764546390000;0;0;0.012030927224457869
132907764546490000;0;0;0.0062590175505204265
132907764546590000;0;0;0.0022573607136119169
132907764546690000;0;0;-0.0075419857246984742
132907764546790000;0;0;-0.0076712442099894093
132907764546890000;0;0;-0.0029907964145920035
132907764546990000;0;0;0.0013509123517713158
132907764547090000;0;0;0.0010701837981627119
132907764547190000;0;0;0.0098432332292494
132907764547290000;0;0;0.0018597470920890427
132907764547390000;0;0;0.00040291555286725567
132907764547490000;0;0;-0.004502964730209091
132907764547590000;0;0;0.003913333259218949
132907764547690000;0;0;-0.0091701369929697452
132907764547790000;0;0;-0.0029683289149887056
132907764547890000;0;0;-0.0063315504382123935
132907764547990000;0;0;-0.0052704911140011215
132907764548090000;0;0;-0.0014691276734283365
132907764548190000;0;0;-0.00927997212790892
132907764548290000;0;0;-0.00046371907553070975
132907764548390000;0;0;-0.00022836792516136152
132907764548490000;0;0;-0.0047698689178233989
132907764548590000;0;0;-0.0075808024093104607
132907764548690000;0;0;-0.0068257572991651822
132907764548790000;0;0;-0.00049278585726168279
132907764548890000;0;0;-0.012074659511345101
132907764548990000;0;0;-0.0041740150909955476
132907764549090000;0;0;-0.0053619628348009424
132907764549190000;0;0;-0.0094301364604795421
132907764549290000;0;0;-0.0049297002772618189
132907764549390000;0;0;-0.0018512792754011779
132907764549490000;0;0;0.0051958659763606634
132907764549590000;0;0;0.0020549474027404561
132907764549690000;0;0;0.0032815439348787955
132907764549790000;0;0;0.008952205013553597
132907764549890000;0;0;0.010404513562597691
132907764549990000;0;0;0.010974642672598751
132907764550090000;0;0;0.001797864121878193
132907764550190000;0;0;0.0038706428096471133
132907764550290000;0;0;-0.0029094512635180394
132907764550390000;0;0;-0.013336911196306292
132907764550490000;0;0;-0.010201947739325413
132907764550590000;0;0;-0.010075345205261169
132907764550690000;0;0;-0.0094760885596723871
132907764550790000;0;0;-0.00930276191472925
132907764550890000;0;0;0.0034379867998910589
132907764550990000;0;0;-0.00096024632053106089
132907764551090000;0;0;0.0032454012895525067
132907764551190000;0;0;0.003985465351955716
132907764551290000;0;0;-0.0032472750744998819
132907764551390000;0;0;-0.0072027485010038444
132907764551490000;0;0;-0.0071847267371978971
132907764551590000;0;0;0.0050949143091179342
132907764551690000;0;0;-0.004401905850405707
132907764551790000;0;0;0.0030681618637392878
132907764551890000;0;0;-0.00389826852014645
132907764551990000;0;0;0.0023236137633269229
132907764552090000;0;0;0.012370638070129142
132907764552190000;0;0;0.0095324492967870534
132907764552290000;0;0;0.0060453570199186773
132907764552390000;0;0;0.0074535996797871085
132907764552490000;0;0;0.0011427282788985277
132907764552590000;0;0;-0.001056493175802419
132907764552690000;0;0;-0.0019365284768930334
132907764552790000;0;0;0.0037782309135178586
132907764552890000;0;0;-0.0038846257714380806
132907764552990000;0;0;-0.00528498275296135
132907764553090000;0;0;-0.0041485749038085162
132907764553190000;0;0;-0.0025205163728144768
132907764553290000;0;0;-0.002384062608965249
132907764553390000;0;0;0.0050429215168321592
132907764553490000;0;0;0.00064334275279097158
132907764553590000;0;0;-0.0043039110414111632
132907764553690000;0;0;0.0069556089772439813
132907764553790000;0;0;-0.0011934111111289178
132907764553890000;0;0;0.0052709923692862226
132907764553990000;0;0;-0.0011674877080608691
132907764554090000;0;0;0.0023306674922925394
132907764554190000;0;0;0.0083047938747509431
132907764554290000;0;0;0.0077847735891673833
132907764554390000;0;0;0.0017135835778731741
132907764554490000;0;0;0.0028225837313254985
132907764554590000;0;0;0.0050637615865061448
132907764554690000;0;0;0.0052856998929820239
132907764554790000;0;0;0.00796794242508689
132907764554890000;0;0;0.013735099266613485
132907764554990000;0;0;0.0017570332427370829
132907764555090000;0;0;0.00088939402057669915
132907764555190000;0;0;-0.0012285906123687372
132907764555290000;0;0;-0.0012848478597470713
132907764555390000;0;0;-0.0026294946472012969
132907764555490000;0;0;1.6048122449340008E-05
132907764555590000;0;0;-0.0016562889415820579
132907764555690000;0;0;0.0018657834231325121
132907764555790000;0;0;-0.011514526215325647
132907764555890000;0;0;-0.0080314390239462768
132907764555990000;0;0;0.0024030598326152935
132907764556090000;0;0;-0.0018076371346948243
132907764556190000;0;0;-0.00055585472289478629
132907764556290000;0;0;-0.0062262478241638256
132907764556390000;0;0;-0.0075150076966145228
132907764556490000;0;0;-0.0070834289573406886
132907764556590000;0;0;-0.020549680983552362
132907764556690000;0;0;-0.01847994400095513
132907764556790000;0;0;-0.013653693352886985
132907764556890000;0;0;-0.0015767878730405319
132907764556990000;0;0;-0.013466040633514359
132907764557090000;0;0;-0.0047402012349492843
132907764557190000;0;0;-0.0099616446237286126
132907764557290000;0;0;-0.0033531452620431412
132907764557390000;0;0;-0.0080240129674928676
132907764557490000;0;0;-0.002459337180417619
132907764557590000;0;0;-0.0017227565170871134
132907764557690000;0;0;0.0047278935645071914
132907764557790000;0;0;-0.012201327686327616
132907764557890000;0;0;-0.0012222856101097978
132907764557990000;0;0;-0.0055107747916495033
132907764558090000;0;0;0.00090521612462517392
132907764558190000;0;0;0.0058624125685133423
132907764558290000;0;0;0.0048505894831056074
132907764558390000;0;0;-0.0037689674081948571
132907764558490000;0;0;-0.0058421471982339351
132907764558590000;0;0;0.0087008623567002737
132907764558690000;0;0;0.0030112860756803337
132907764558790000;0;0;0.0020569136814168011
132907764558890000;0;0;0.0080767714952321851
132907764558990000;0;0;0.0057235773106723807
132907764559090000;0;0;-0.0016697555556796442
132907764559190000;0;0;-0.0042882786079505479
132907764559290000;0;0;-0.0027275377739428182
132907764559390000;0;0;0.002718752321264944
132907764559490000;0;0;-0.0031134368679706474
132907764559590000;0;0;0.0019474841390680773
132907764559690000;0;0;-0.0071367883407078662
132907764559790000;0;0;-0.0024858285881617769
132907764559890000;0;0;-0.0040819137465498935
132907764559990000;0;0;-0.011269835951481875
132907764560090000;0;0;-0.0092461802318364213
132907764560190000;0;0;-0.00061934916461798932
132907764560290000;0;0;-3.3496521478883559E-05
132907764560390000;0;0;-0.0029126348518345312
132907764560490000;0;0;0.00054512017244668157
132907764560590000;0;0;-0.0001012854237600223
132907764560690000;0;0;0.0028386485073930616
132907764560790000;0;0;-0.00781147747243904
132907764560890000;0;0;0.0067817654103063405
132907764560990000;0;0;0.0074430499250882493
132907764561090000;0;0;0.00032709552197098327
132907764561190000;0;0;-0.0028339266940859619
132907764561290000;0;0;-0.0035548891575739577
132907764561390000;0;0;-0.0011181039035926114
132907764561490000;0;0;-0.0013057434767945048
132907764561590000;0;0;0.00027342452617069336
132907764561690000;0;0;-0.001426125956093175
