Name;Resolver ciclic error 2;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\Resolver Ciclic Error2.csv;
Starttime of export;132900081483250000;Tuesday, February 22, 2022;13:55:48.325
Endtime of export;132900081936650000;Tuesday, February 22, 2022;13:56:33.665


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132900081490550000;0;0;-0.071390986304025725
132900081490650000;0;0;-0.07059226742205188
132900081490750000;0;0;-0.070702260136017978
132900081490850000;0;0;-0.070958460798574791
132900081490950000;0;0;-0.071434006345646131
132900081491050000;0;0;-0.071822014724622629
132900081491150000;0;0;-0.072470444491381625
132900081491250000;0;0;-0.072087765235675269
132900081491350000;0;0;-0.071663947820184079
132900081491450000;0;0;-0.071532210888021
132900081491550000;0;0;-0.07156272473199804
132900081491650000;0;0;-0.072075052247642588
132900081491750000;0;0;-0.071859850742235415
132900081491850000;0;0;-0.07081653826715742
132900081491950000;0;0;-0.071639519140671765
132900081492050000;0;0;-0.071305246650343435
132900081492150000;0;0;-0.070924376680116127
132900081492250000;0;0;-0.071607327719284311
132900081492350000;0;0;-0.07146840899674152
132900081492450000;0;0;-0.071329610868908613
132900081492550000;0;0;-0.071165474726521391
132900081492650000;0;0;-0.071664122630732727
132900081492750000;0;0;-0.0718283112813168
132900081492850000;0;0;-0.071752613023120582
132900081492950000;0;0;-0.070882938899604009
132900081493050000;0;0;-0.071537196120231863
132900081493150000;0;0;-0.071774990910781628
132900081493250000;0;0;-0.0717401717733683
132900081493350000;0;0;-0.070871064734692665
132900081493450000;0;0;-0.0708131303794439
132900081493550000;0;0;-0.070483057134470936
132900081493650000;0;0;-0.069420780694695719
132900081493750000;0;0;-0.069682197351073311
132900081493850000;0;0;-0.070969324044044782
132900081493950000;0;0;-0.070806285587523832
132900081494050000;0;0;-0.0712501223093862
132900081494150000;0;0;-0.071367214949289326
132900081494250000;0;0;-0.071703305665053965
132900081494350000;0;0;-0.072159594703308058
132900081494450000;0;0;-0.072143640712385118
132900081494550000;0;0;-0.0716687354946779
132900081494650000;0;0;-0.071594981435983723
132900081494750000;0;0;-0.07148252008261638
132900081494850000;0;0;-0.070838085917868138
132900081494950000;0;0;-0.072277805902966077
132900081495050000;0;0;-0.072632931833322728
132900081495150000;0;0;-0.07320225939394466
132900081495250000;0;0;-0.073164627975649626
132900081495350000;0;0;-0.072696463990138238
132900081495450000;0;0;-0.072207238735410753
132900081495550000;0;0;-0.07208289800913581
132900081495650000;0;0;-0.072160121103579708
132900081495750000;0;0;-0.07303856404550936
132900081495850000;0;0;-0.073278108060018415
132900081495950000;0;0;-0.073840551497756368
132900081496050000;0;0;-0.073651872289541412
132900081496150000;0;0;-0.073284588787659449
132900081496250000;0;0;-0.0719306801014283
132900081496350000;0;0;-0.071731233987944593
132900081496450000;0;0;-0.070921470820239613
132900081496550000;0;0;-0.071837278808459859
132900081496650000;0;0;-0.071936767774976124
132900081496750000;0;0;-0.071539151344022542
132900081496850000;0;0;-0.072362007135920989
132900081496950000;0;0;-0.0721937516041925
132900081497050000;0;0;-0.072063288152133
132900081497150000;0;0;-0.0727265674433167
132900081497250000;0;0;-0.072939716257911374
132900081497350000;0;0;-0.072827915519001932
132900081497450000;0;0;-0.074903390301492082
