Name;Resolver voltage divider at sine and cosine coild;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\VoltageDividerSineCosCoils.csv;
Starttime of export;132907960342450000;Thursday, March 3, 2022;16:47:14.245
Endtime of export;132907960642850000;Thursday, March 3, 2022;16:47:44.285


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907960352550000;0;0;-0.0012223629563027981
132907960352650000;0;0;-0.0022656114983719152
132907960352750000;0;0;-0.0031218953154612617
132907960352850000;0;0;-0.0047776141702627678
132907960352950000;0;0;-0.0041282634848153945
132907960353050000;0;0;-0.0023889837013271365
132907960353150000;0;0;-0.0033169490391722072
132907960353250000;0;0;-0.0029392810426119233
132907960353350000;0;0;-0.0036069842874325167
132907960353450000;0;0;-0.0023250830620234137
132907960353550000;0;0;-0.0032521605148627996
132907960353650000;0;0;-0.0015898795500510238
132907960353750000;0;0;-0.00017300291630910846
132907960353850000;0;0;-0.0010035136401949916
132907960353950000;0;0;-0.00070274450281963005
132907960354050000;0;0;-0.0012607883860079009
132907960354150000;0;0;-0.0015953113136871655
132907960354250000;0;0;-0.00270050149394342
132907960354350000;0;0;-0.0032599641110119121
132907960354450000;0;0;-0.0028748465990258154
132907960354550000;0;0;-0.0017947615462828625
132907960354650000;0;0;-0.0022336112245080744
132907960354750000;0;0;-0.0037182409821934406
132907960354850000;0;0;-0.0020323640579616663
132907960354950000;0;0;-0.0037935353927798674
132907960355050000;0;0;-0.0027691694204823279
132907960355150000;0;0;-0.0030642796599244884
132907960355250000;0;0;-0.00080378692470909046
132907960355350000;0;0;-0.002460867684549404
132907960355450000;0;0;-0.0029068334931149726
132907960355550000;0;0;-0.0028048636387729827
132907960355650000;0;0;-0.00232615737303136
132907960355750000;0;0;-0.0016000881822125072
132907960355850000;0;0;0.00041200476799527897
132907960355950000;0;0;-0.00058268762247799322
132907960356050000;0;0;-0.00052204001571072925
132907960356150000;0;0;0.00092385592466284706
132907960356250000;0;0;-0.00056295287669677423
132907960356350000;0;0;-0.00079001984648328168
132907960356450000;0;0;-0.0018449882477305313
132907960356550000;0;0;-0.0022969003251445655
132907960356650000;0;0;8.77379288366266E-05
132907960356750000;0;0;-4.4231907862459625E-05
132907960356850000;0;0;0.00054440912348368794
132907960356950000;0;0;-7.1416917165000721E-05
132907960357050000;0;0;0.00021538871481190032
132907960357150000;0;0;0.00021046518152010706
132907960357250000;0;0;0.00012377328196069989
132907960357350000;0;0;-0.0011532863305011509
132907960357450000;0;0;-0.0012552885706953515
132907960357550000;0;0;-0.0029990716569097795
132907960357650000;0;0;-0.0043591298950134772
132907960357750000;0;0;-0.00351924810265084
132907960357850000;0;0;-0.0011799223857600866
132907960357950000;0;0;-0.0011597189482401653
132907960358050000;0;0;-0.0010368863854065863
132907960358150000;0;0;-0.0011056924737034794
132907960358250000;0;0;-0.0009658101350001597
132907960358350000;0;0;-0.00072777333438960078
132907960358450000;0;0;0.000606523070879701
132907960358550000;0;0;5.1549970300092868E-05
132907960358650000;0;0;0.0010963864549696271
132907960358750000;0;0;0.00040403140088309517
132907960358850000;0;0;0.0011829970651879712
132907960358950000;0;0;0.00027556506678507245
132907960359050000;0;0;0.0013214800856574823
132907960359150000;0;0;0.00037823463560349309
132907960359250000;0;0;-0.00081159043231300619
132907960359350000;0;0;-0.0028731909512311818
132907960359450000;0;0;-0.0038082629286702281
132907960359550000;0;0;-0.0022071478448840083
132907960359650000;0;0;-0.0021763636359036767
132907960359750000;0;0;-0.00060549405318154471
132907960359850000;0;0;-0.0005927378765583388
132907960359950000;0;0;0.00010295341427213496
132907960360050000;0;0;-0.0009038649395801281
132907960360150000;0;0;-0.0010707222647582204
132907960360250000;0;0;-0.0012301561536291355
132907960360350000;0;0;-0.0032381529584694156
132907960360450000;0;0;-0.0019305736436333349
132907960360550000;0;0;-0.00042770467471406315
132907960360650000;0;0;0.00010538472153630138
132907960360750000;0;0;-0.0017255529709454091
132907960360850000;0;0;-0.0020712830240161152
132907960360950000;0;0;-0.00014712587560040589
132907960361050000;0;0;-0.0003404157958622292
132907960361150000;0;0;0.00013362287264668334
132907960361250000;0;0;-0.0016116073674183997
132907960361350000;0;0;-0.0018961370301081289
132907960361450000;0;0;-0.0024851376893747449
132907960361550000;0;0;-0.0034349742175836763
132907960361650000;0;0;-0.0028742687006161924
132907960361750000;0;0;-0.0039647099276781811
132907960361850000;0;0;-0.0031187106102276417
132907960361950000;0;0;-0.0030797942002441158
132907960362050000;0;0;-0.0030348603493150533
132907960362150000;0;0;-0.0016492304420816679
132907960362250000;0;0;-0.0009093363122544679
132907960362350000;0;0;-0.0026727591687252311
132907960362450000;0;0;-0.0022848323663295297
132907960362550000;0;0;-0.0016777183605658232
132907960362650000;0;0;-0.0019922277179701231
132907960362750000;0;0;-0.0024481859110083385
132907960362850000;0;0;-0.0028802562774349846
132907960362950000;0;0;-0.0019965964386461617
132907960363050000;0;0;-0.0024672101978943629
132907960363150000;0;0;-0.000524364174973581
132907960363250000;0;0;-0.002255978144244795
132907960363350000;0;0;-0.0021614057573440303
132907960363450000;0;0;-0.0024031286848684229
132907960363550000;0;0;-0.0013736430150032605
132907960363650000;0;0;-0.00070758740595247257
132907960363750000;0;0;-0.0016950266252987907
132907960363850000;0;0;-0.00019860221764938038
132907960363950000;0;0;-0.0025760182930747379
132907960364050000;0;0;-0.0013262956243484734
132907960364150000;0;0;-0.00011503122387773496
132907960364250000;0;0;0.0012641849177735425
132907960364350000;0;0;0.00038749808046112155
132907960364450000;0;0;0.0011953806760539101
132907960364550000;0;0;0.00024921428286076377
132907960364650000;0;0;-0.00098865080938596384
132907960364750000;0;0;0.0009304418038999058
132907960364850000;0;0;0.00103080496079459
132907960364950000;0;0;0.00068683851318888283
132907960365050000;0;0;-0.00083328263844687465
132907960365150000;0;0;-0.0012976721330185419
132907960365250000;0;0;-0.0032190773662198351
132907960365350000;0;0;-0.0022038114671727492
132907960365450000;0;0;-0.0024080277010143413
132907960365550000;0;0;-0.0020783904483539185
132907960365650000;0;0;-0.0019592759058545493
132907960365750000;0;0;-0.0019387460979018749
132907960365850000;0;0;-0.00084791121077081619
132907960365950000;0;0;-9.3612241240720133E-05
132907960366050000;0;0;0.00026022786030977668
132907960366150000;0;0;-0.00045773065246222178
132907960366250000;0;0;-0.0024442029471337546
132907960366350000;0;0;-0.000766756175382292
132907960366450000;0;0;-0.0025084330611603763
132907960366550000;0;0;-0.0015758393372913594
132907960366650000;0;0;-0.00010867480143263056
132907960366750000;0;0;-0.0015865838187247596
132907960366850000;0;0;-0.00078770981258857687
132907960366950000;0;0;-0.0017034850786641998
132907960367050000;0;0;0.00030997229597872329
132907960367150000;0;0;-0.00013166788168080695
132907960367250000;0;0;-0.00021640097492408943
132907960367350000;0;0;-0.0007328661391372835
132907960367450000;0;0;-4.5515443915450122E-05
132907960367550000;0;0;-0.000778309491538833
132907960367650000;0;0;-0.0017832759661718721
132907960367750000;0;0;-0.001093318270006618
132907960367850000;0;0;-0.0024497149624084962
132907960367950000;0;0;-0.0018161091403753639
132907960368050000;0;0;-0.0024891935132203094
132907960368150000;0;0;-0.001881552599492629
132907960368250000;0;0;-0.00210157148216648
132907960368350000;0;0;-0.0011818433934669213
132907960368450000;0;0;-0.0020647826407345516
132907960368550000;0;0;-0.0024022830710367579
132907960368650000;0;0;-0.0029418981484791921
132907960368750000;0;0;-0.0032896957541635138
132907960368850000;0;0;-0.0022964137170904957
132907960368950000;0;0;-0.0017763354975072285
132907960369050000;0;0;-0.00245738420934871
132907960369150000;0;0;-0.003034332550398703
132907960369250000;0;0;-0.0018303535869937109
132907960369350000;0;0;-0.0018655139720337305
132907960369450000;0;0;-0.0032519177908898753
132907960369550000;0;0;-0.0025243002892836575
132907960369650000;0;0;-0.00031190205356621361
132907960369750000;0;0;-0.0011884409876531646
132907960369850000;0;0;-0.00052430419435168835
132907960369950000;0;0;-0.00034568798424040848
132907960370050000;0;0;0.0001668033797945218
132907960370150000;0;0;0.00022734822182900627
132907960370250000;0;0;-0.00058397252544242187
132907960370350000;0;0;-0.0019517720698441752
132907960370450000;0;0;-0.0013985046595664111
132907960370550000;0;0;-0.0020327963502332538
132907960370650000;0;0;-0.00050168782831460984
132907960370750000;0;0;-0.00058280742647786482
132907960370850000;0;0;0.00095911441379367
132907960370950000;0;0;0.0012108468295493986
